Comment,Pattern,Quantity,Components,
,,,,
100uF,TPSA226K006T0300,1,Cin1,1206_TANTALUM
12K,Resistor_0805,1,R3,
150uF,EEF-CX0J151R,4,"Cout1, Cout2, Cout3, Cout4",
1uH,PCBComponent_1,1,L1,
22K,Resistor_0805,1,R1,
22uF,PCBComponent_1,4,"Cin2, Cin3, Cout5, Cout6",
37.4K,Resistor_0805,1,R2,
4.7uF,SMD-0805C,1,Cvcc,CAP CER 10000PF 250V X5R 0805
47pF,SMD-0805C,1,C1,CAP CER 10000PF 250V X7T 0805
6.8nF,SMD-0603C,1,C2,CAP CER 0.1UF 16V X7R 0603
80.6K,Resistor_0805,1,RT1,
FDS7760A (IRF7463),FDS7760A,1,M1,IRF7463
Header 20X2,HDR2X20,2,"InLand_Header, Shoreline_Header","Header, 20-Pin, Dual row"
LT1871-1,LTC1871-1,1,U1,
MBRB2515L,MBRB2515L,1,D1,
